Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,service_mean,satisfaction
Male,Loyal Customer,26,Personal Travel,Eco,6.842683282238422,1,4,1,4,2,1,5,2,4,3,4,3,5,2,2.3978952727983707,4.189654742026425,2.75,0
Male,Loyal Customer,14,Personal Travel,Eco Plus,4.836281906951478,1,4,1,4,3,1,3,3,4,4,4,1,3,3,0.0,0.0,2.5833333333333335,0
Male,Loyal Customer,59,Business travel,Business,6.536691597591305,1,1,1,1,3,5,4,3,3,3,3,4,3,4,1.9459101490553132,1.0986122886681098,3.0833333333333335,1
Female,Loyal Customer,52,Business travel,Eco,6.953684210870537,5,1,1,1,5,4,4,1,4,3,2,4,3,4,4.9344739331306915,4.875197323201151,3.3333333333333335,1
Female,Loyal Customer,19,Business travel,Eco Plus,5.5254529391317835,2,4,3,4,2,2,3,2,3,2,3,2,4,2,0.0,0.0,2.5,0
Female,Loyal Customer,46,Business travel,Business,7.368339686311381,3,3,3,3,2,5,4,4,4,4,4,5,4,3,0.0,0.0,3.75,1
Male,Loyal Customer,34,Business travel,Eco,5.8522024797744745,0,0,0,4,3,0,3,3,2,5,4,5,3,3,0.0,0.0,2.5833333333333335,1
Female,Loyal Customer,55,Personal Travel,Eco,7.752764808851328,0,5,0,1,3,5,5,5,5,5,3,3,5,3,0.0,0.0,3.5,1
Male,Loyal Customer,24,Business travel,Eco,5.840641657373398,4,4,4,4,4,4,3,4,3,3,5,3,4,4,0.0,0.0,3.75,1
Male,Loyal Customer,38,Business travel,Business,7.8582541821860294,4,4,4,4,4,3,4,4,4,4,4,5,4,4,1.791759469228055,2.302585092994046,4.0,1
Female,disloyal Customer,27,Business travel,Eco,6.970730078143525,1,1,1,3,1,2,2,1,2,4,3,2,3,2,1.791759469228055,4.143134726391533,2.0,0
Male,Loyal Customer,50,Business travel,Business,8.05356916913454,2,2,2,2,3,5,4,4,4,4,4,5,4,4,3.4657359027997265,2.9444389791664403,3.75,1
Female,Loyal Customer,41,Business travel,Eco,7.090076835776092,3,1,1,1,2,3,2,2,1,5,4,2,4,2,0.0,3.7612001156935624,2.5833333333333335,0
Female,Loyal Customer,41,Business travel,Business,8.270269111436624,5,5,5,5,5,2,5,4,4,5,4,2,4,3,3.332204510175204,3.4011973816621555,4.0,1
Female,Loyal Customer,19,Personal Travel,Eco,5.817111159963204,2,3,2,4,5,2,5,5,3,1,3,4,4,5,0.0,2.70805020110221,3.4166666666666665,0
Female,Loyal Customer,34,Personal Travel,Eco,7.3833681469923835,4,5,4,2,2,4,3,2,3,5,5,3,4,2,2.3978952727983707,2.302585092994046,3.4166666666666665,0
Male,disloyal Customer,22,Business travel,Business,5.44673737166631,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0.0,0.0,4.166666666666667,1
Female,disloyal Customer,46,Business travel,Business,6.931471805599453,3,3,3,3,2,3,2,2,3,2,5,5,4,2,2.3978952727983707,1.9459101490553132,3.0,0
Female,Loyal Customer,69,Personal Travel,Eco,6.55250788703459,1,2,1,2,4,3,2,2,2,1,2,3,2,1,0.0,0.0,2.0,0
Male,Loyal Customer,54,Personal Travel,Eco,6.104793232414985,4,4,4,1,5,4,4,5,3,2,5,5,5,5,2.3978952727983707,1.6094379124341003,4.25,1
Male,Loyal Customer,13,Personal Travel,Eco,6.369900982828227,3,4,3,3,4,3,4,4,4,4,4,4,5,4,0.0,0.0,3.8333333333333335,0
Male,Loyal Customer,49,Personal Travel,Business,6.688354713946762,3,2,3,4,3,4,4,3,3,3,3,1,3,3,0.0,0.0,3.0,0
Male,Loyal Customer,29,Personal Travel,Eco,6.008813185442595,2,3,2,2,5,2,5,5,1,3,3,1,5,5,2.772588722239781,3.1354942159291497,3.25,0
Male,Loyal Customer,59,Business travel,Eco,6.928537818164665,3,5,5,5,3,3,3,3,2,5,3,1,4,3,0.0,0.0,3.1666666666666665,0
Male,Loyal Customer,36,Personal Travel,Eco,6.8885724595653635,3,5,3,5,5,3,5,5,4,3,4,5,5,5,0.0,0.0,4.166666666666667,0
Male,Loyal Customer,43,Business travel,Business,7.381501894506707,1,1,1,1,4,3,3,3,2,4,5,3,5,3,5.204006687076795,5.081404364984463,3.0833333333333335,1
Female,disloyal Customer,24,Business travel,Eco,6.137727054086234,1,1,1,1,3,1,3,3,4,2,1,1,1,3,4.430816798843313,4.127134385045092,2.0,0
Female,Loyal Customer,20,Personal Travel,Eco,5.529429087511423,2,3,0,2,2,0,2,2,1,4,1,3,3,2,0.0,0.0,1.8333333333333333,0
Female,disloyal Customer,32,Business travel,Business,5.44673737166631,4,4,4,3,4,4,2,4,4,2,5,3,4,4,0.0,0.0,3.6666666666666665,0
Male,disloyal Customer,19,Business travel,Eco,7.069874128458572,2,2,2,3,4,2,4,4,4,4,4,3,4,4,0.0,0.0,3.4166666666666665,0
Male,Loyal Customer,18,Business travel,Business,6.519147287940395,2,2,2,2,5,5,5,5,3,4,4,1,2,5,0.6931471805599453,2.302585092994046,3.5833333333333335,1
Female,Loyal Customer,44,Business travel,Business,7.550135342488429,2,1,1,1,1,4,4,2,2,2,2,4,2,2,0.0,0.0,2.3333333333333335,0
Male,Loyal Customer,44,Business travel,Eco,5.934894195619588,3,4,4,4,3,3,3,3,1,2,3,2,4,3,0.0,0.0,2.8333333333333335,0
Female,disloyal Customer,23,Business travel,Business,7.377133712833954,4,4,5,3,3,5,3,3,5,2,3,3,4,3,0.0,2.6390573296152584,3.5833333333333335,1
Male,disloyal Customer,44,Business travel,Business,5.25227342804663,5,5,5,2,3,5,3,3,3,3,4,4,5,3,0.0,0.0,3.8333333333333335,1
Female,disloyal Customer,44,Business travel,Business,5.8522024797744745,2,2,2,3,1,2,1,1,4,4,5,4,4,1,1.791759469228055,0.0,2.5833333333333335,0
Male,disloyal Customer,44,Business travel,Business,5.8522024797744745,2,2,2,4,1,2,1,1,3,5,4,3,3,1,0.0,0.0,2.3333333333333335,0
Male,Loyal Customer,42,Business travel,Business,5.37989735354046,4,4,4,4,1,2,5,4,4,4,5,1,4,5,0.0,0.0,3.5833333333333335,1
Female,Loyal Customer,42,Personal Travel,Eco Plus,5.099866427824199,1,3,1,4,3,4,4,2,2,1,2,4,2,4,0.0,1.0986122886681098,2.5,0
Female,Loyal Customer,7,Personal Travel,Eco,6.306275286948016,4,4,4,4,3,4,3,3,4,4,3,4,4,3,2.0794415416798357,0.0,3.5833333333333335,0
Male,Loyal Customer,28,Business travel,Business,7.237778191923443,4,4,4,4,5,5,5,5,3,2,5,3,4,5,0.6931471805599453,0.0,4.166666666666667,1
Male,Loyal Customer,12,Personal Travel,Eco,6.0844994130751715,1,5,1,4,2,1,2,2,5,3,4,4,3,2,0.0,0.6931471805599453,2.5,0
Female,disloyal Customer,25,Business travel,Business,7.090076835776092,5,5,5,3,1,5,1,1,5,4,4,3,4,1,2.4849066497880004,0.0,3.25,1
Male,Loyal Customer,54,Business travel,Business,8.022896869601457,5,5,4,5,3,4,5,5,5,5,5,4,5,5,0.0,3.1780538303479458,4.583333333333333,1
Male,Loyal Customer,40,Business travel,Business,7.323170717943469,4,4,4,4,5,5,4,2,2,2,2,4,2,3,3.58351893845611,3.9512437185814275,3.25,1
Female,Loyal Customer,22,Business travel,Business,8.15708378502887,3,4,5,4,3,3,3,1,4,3,4,3,2,3,4.727387818712341,4.941642422609304,3.0833333333333335,0
Male,disloyal Customer,39,Business travel,Business,6.282266746896006,2,2,2,5,5,2,5,5,3,5,4,4,4,5,0.0,0.0,3.8333333333333335,0
Male,Loyal Customer,64,Business travel,Eco Plus,7.0431599159883405,3,1,1,1,4,3,4,4,4,2,3,1,2,4,0.0,0.0,2.9166666666666665,0
Male,disloyal Customer,20,Business travel,Eco,6.054439346269371,4,0,4,3,4,4,4,4,4,5,4,4,4,4,3.258096538021482,2.8903717578961645,4.083333333333333,1
Female,Loyal Customer,53,Business travel,Business,8.138564737261632,4,4,4,4,4,4,5,4,4,4,4,5,4,3,0.0,0.0,4.083333333333333,1
Male,Loyal Customer,42,Business travel,Business,7.344719054149673,1,1,1,1,5,4,4,4,4,4,4,5,4,4,3.367295829986474,3.295836866004329,3.6666666666666665,1
Female,Loyal Customer,37,Business travel,Business,7.411556287811163,1,5,4,4,2,4,4,1,1,1,1,2,1,1,2.772588722239781,2.772588722239781,1.9166666666666667,0
Female,Loyal Customer,34,Business travel,Business,7.638198244285779,2,1,1,1,1,2,4,2,2,2,2,3,2,2,4.394449154672439,4.406719247264253,2.0833333333333335,0
Male,Loyal Customer,48,Personal Travel,Eco,4.941642422609304,1,5,1,3,1,2,2,4,2,3,5,2,3,2,4.897839799950911,4.912654885736052,2.3333333333333335,0
Male,Loyal Customer,43,Business travel,Business,7.679713639966372,3,2,3,3,3,3,3,3,4,3,3,3,2,3,4.584967478670572,4.90527477843843,3.0,0
Male,Loyal Customer,26,Personal Travel,Eco,6.523562306149512,3,4,3,1,2,3,2,2,5,3,5,4,5,2,0.0,2.4849066497880004,3.25,0
Male,disloyal Customer,25,Business travel,Business,6.003887067106539,5,0,5,1,5,5,5,5,5,5,4,5,4,5,0.0,1.3862943611198906,4.833333333333333,1
Female,Loyal Customer,15,Personal Travel,Business,6.035481432524756,4,5,4,4,1,4,1,1,4,3,3,2,4,1,2.1972245773362196,2.0794415416798357,2.6666666666666665,0
Female,Loyal Customer,29,Personal Travel,Eco,6.013715156042802,2,4,2,2,4,2,4,4,3,3,5,4,5,4,0.0,0.0,3.5,0
Female,Loyal Customer,25,Business travel,Eco,6.706862336602747,4,1,1,1,4,4,3,4,1,1,2,2,5,4,0.0,0.0,2.9166666666666665,1
Female,Loyal Customer,40,Business travel,Business,7.384610383176974,3,3,3,3,4,2,4,3,3,4,5,1,3,3,0.0,0.0,3.1666666666666665,1
Female,disloyal Customer,27,Business travel,Eco,5.442417710521793,2,0,2,4,1,2,1,1,3,3,3,1,5,1,0.0,0.0,2.0833333333333335,0
Male,Loyal Customer,67,Personal Travel,Eco,6.975413927455952,1,5,1,5,5,1,5,5,3,3,4,5,5,5,0.6931471805599453,1.3862943611198906,3.5833333333333335,0
Male,Loyal Customer,31,Personal Travel,Business,6.38856140554563,2,3,2,2,2,2,2,2,2,1,4,2,3,2,5.225746673713202,5.231108616854587,2.1666666666666665,0
Female,Loyal Customer,47,Personal Travel,Business,6.115892125483034,1,5,1,3,1,3,3,5,3,5,5,3,5,3,5.351858133476067,5.262690188904886,3.1666666666666665,0
Female,Loyal Customer,26,Personal Travel,Eco,6.472346294500901,1,3,1,2,5,1,5,5,1,4,1,3,4,5,0.6931471805599453,0.0,3.0,0
Female,Loyal Customer,42,Business travel,Business,7.674152921281675,3,3,3,3,4,4,4,5,5,5,5,3,5,3,2.8903717578961645,2.6390573296152584,4.083333333333333,1
Female,Loyal Customer,11,Personal Travel,Eco Plus,6.003887067106539,1,2,1,4,4,1,4,4,3,2,3,2,4,4,1.0986122886681098,0.0,2.75,0
Female,Loyal Customer,60,Business travel,Business,7.237059026124737,4,4,4,4,5,5,4,4,4,4,4,4,4,4,0.0,2.1972245773362196,4.166666666666667,1
Male,Loyal Customer,64,Business travel,Eco,5.030437921392435,4,5,5,5,4,4,4,4,3,5,3,1,4,4,0.0,0.0,3.75,0
Female,Loyal Customer,24,Personal Travel,Eco,6.522092798170152,4,1,5,2,3,5,3,3,1,2,3,4,3,3,1.3862943611198906,2.302585092994046,3.25,1
Female,Loyal Customer,40,Business travel,Business,7.3864708488298945,2,3,3,3,3,2,2,4,4,4,2,4,4,1,0.0,2.302585092994046,2.9166666666666665,0
Female,disloyal Customer,24,Business travel,Business,7.289610521451167,4,4,4,4,4,4,4,4,5,4,4,4,4,4,2.4849066497880004,0.0,4.083333333333333,1
Female,Loyal Customer,38,Personal Travel,Eco,7.673223121121708,4,5,4,5,4,2,2,5,3,4,5,2,5,2,0.0,3.044522437723423,3.5,0
Female,disloyal Customer,35,Business travel,Business,7.213768308118642,4,4,4,3,4,4,4,4,4,3,4,4,5,4,2.8903717578961645,3.258096538021482,4.0,0
Female,disloyal Customer,29,Business travel,Eco,6.473890696352274,2,2,2,3,5,2,4,5,3,3,3,3,3,5,3.4011973816621555,3.332204510175204,3.3333333333333335,0
Female,disloyal Customer,26,Business travel,Business,6.270988431858299,4,4,4,1,2,4,2,2,4,3,4,5,5,2,0.0,0.0,3.4166666666666665,0
Female,Loyal Customer,60,Business travel,Eco,6.234410725718371,2,2,2,2,3,3,3,2,2,2,2,4,2,4,0.0,0.0,2.5833333333333335,0
Female,disloyal Customer,53,Personal Travel,Eco,5.4638318050256105,1,3,1,4,4,1,2,4,4,3,4,1,3,4,0.0,2.0794415416798357,2.6666666666666665,0
Male,Loyal Customer,56,Business travel,Business,5.627621113690637,3,3,3,3,3,3,3,3,3,3,3,4,3,3,0.0,0.0,3.0833333333333335,0
Female,Loyal Customer,40,Business travel,Business,7.467942332285852,4,3,5,3,4,4,4,4,4,4,4,2,4,2,2.1972245773362196,0.0,3.75,0
Male,Loyal Customer,19,Personal Travel,Eco,6.760414691083428,2,5,2,4,4,2,2,4,3,2,5,5,4,4,0.0,0.0,3.25,0
Male,Loyal Customer,56,Business travel,Business,6.2166061010848646,2,2,2,2,3,5,5,4,4,4,4,3,4,4,1.6094379124341003,1.3862943611198906,3.6666666666666665,1
Female,Loyal Customer,24,Personal Travel,Eco,6.396929655216146,1,5,1,2,2,1,2,2,3,4,3,4,5,2,3.7376696182833684,3.332204510175204,2.5,0
Male,Loyal Customer,34,Personal Travel,Eco,6.536691597591305,3,4,3,3,2,3,2,2,3,5,5,4,4,2,0.0,0.0,3.1666666666666665,0
Male,Loyal Customer,58,Business travel,Business,7.6255950721324535,3,3,3,3,1,2,3,4,4,4,4,3,4,4,0.0,0.0,3.25,1
Female,Loyal Customer,47,Business travel,Eco,6.118097198041348,4,2,3,2,1,3,3,4,4,4,4,5,4,2,2.3978952727983707,0.0,3.4166666666666665,1
Female,Loyal Customer,60,Business travel,Business,5.8664680569332965,4,3,3,3,3,2,2,4,4,4,4,3,4,4,2.9444389791664403,2.1972245773362196,3.4166666666666665,0
Female,Loyal Customer,31,Business travel,Business,6.3784261836515865,3,2,3,2,3,3,3,3,3,1,1,4,1,3,0.0,0.0,2.5833333333333335,0
Male,disloyal Customer,42,Business travel,Eco,6.85751406254539,3,3,3,3,1,3,1,1,1,4,4,5,2,1,0.0,3.332204510175204,2.4166666666666665,0
Female,Loyal Customer,48,Personal Travel,Eco,6.025865973825314,5,5,5,2,4,4,4,4,4,5,4,4,4,4,0.0,0.0,4.25,1
Female,Loyal Customer,24,Business travel,Eco,6.194405391104672,2,2,2,2,2,2,3,2,3,3,3,2,4,2,0.0,1.9459101490553132,2.5,0
Male,Loyal Customer,11,Personal Travel,Eco,7.341483852363161,4,5,4,1,2,4,2,2,4,5,3,4,4,2,0.0,0.0,3.3333333333333335,0
Female,Loyal Customer,54,Personal Travel,Eco,7.579167967396076,1,5,1,4,1,1,1,1,2,2,5,1,3,1,4.948759890378168,4.553876891600541,1.6666666666666667,0
Male,disloyal Customer,39,Business travel,Eco,5.2574953720277815,1,4,1,4,3,1,3,3,5,4,5,4,3,3,0.0,3.4657359027997265,3.0,0
Female,Loyal Customer,10,Personal Travel,Eco,6.796823718274855,3,2,3,4,1,3,1,1,3,3,4,3,3,1,3.4011973816621555,4.276666119016055,2.4166666666666665,0
Male,Loyal Customer,39,Business travel,Business,5.733341276897746,0,0,0,1,3,1,2,2,2,2,2,3,2,3,0.0,0.0,1.8333333333333333,1
Female,Loyal Customer,43,Business travel,Business,7.9658927350845286,1,1,1,1,4,5,5,5,5,4,5,4,5,4,0.0,0.0,4.0,1
Male,Loyal Customer,53,Business travel,Business,7.846589975291186,3,3,3,3,5,5,5,3,3,3,4,5,5,5,0.0,0.0,4.083333333333333,1
Female,Loyal Customer,54,Business travel,Business,6.396929655216146,2,1,2,1,5,4,3,2,2,2,2,3,2,3,0.0,0.0,2.6666666666666665,0
Male,Loyal Customer,26,Business travel,Business,8.289790583181643,3,2,2,2,3,3,3,3,2,1,3,3,3,3,0.0,0.0,2.6666666666666665,0
Female,Loyal Customer,35,Business travel,Eco,5.081404364984463,5,2,2,2,5,5,5,5,2,1,5,4,4,5,0.0,0.0,4.0,1
Male,disloyal Customer,26,Business travel,Eco,6.3080984415095305,1,4,1,4,5,1,5,5,4,5,3,1,3,5,0.0,1.0986122886681098,3.25,0
Female,Loyal Customer,60,Personal Travel,Eco,7.095064377287131,2,2,2,3,1,3,3,3,3,2,3,1,3,2,0.0,0.0,2.3333333333333335,0
Female,Loyal Customer,51,Business travel,Business,5.872117789475416,3,1,1,1,2,3,4,3,3,2,3,2,3,2,0.0,0.0,2.5833333333333335,0
Male,Loyal Customer,39,Personal Travel,Eco,6.771935555839602,2,4,2,4,5,2,5,5,3,1,4,3,4,5,3.784189633918261,3.091042453358316,3.4166666666666665,0
Female,disloyal Customer,57,Business travel,Eco,7.044905117129371,3,3,3,2,5,3,1,5,2,2,1,4,3,5,0.0,0.0,3.0833333333333335,0
Male,Loyal Customer,7,Personal Travel,Eco Plus,6.18826412308259,4,3,4,2,2,4,1,2,1,5,3,4,2,2,0.0,0.0,2.8333333333333335,0
Male,Loyal Customer,31,Business travel,Eco Plus,7.764720544771477,3,3,3,3,3,3,3,3,4,4,3,3,3,3,0.0,0.0,3.1666666666666665,0
Male,Loyal Customer,51,Business travel,Business,5.733341276897746,2,2,2,2,4,5,5,4,4,4,4,3,4,5,2.8903717578961645,2.1972245773362196,3.8333333333333335,1
Female,Loyal Customer,21,Personal Travel,Eco,6.967909201801884,4,4,4,4,3,4,3,3,5,5,5,3,5,3,0.0,0.0,3.9166666666666665,0
Male,Loyal Customer,34,Personal Travel,Eco,6.444131256700441,2,5,2,1,2,2,2,2,5,4,4,3,4,2,0.0,0.6931471805599453,2.8333333333333335,0
Female,Loyal Customer,41,Business travel,Business,6.118097198041348,4,4,4,4,3,4,5,4,4,4,4,5,4,5,1.6094379124341003,2.8903717578961645,4.166666666666667,1
Female,Loyal Customer,27,Business travel,Business,7.667158255319148,4,4,4,4,5,5,5,5,3,5,5,4,5,5,0.0,0.0,4.583333333333333,1
Female,Loyal Customer,22,Personal Travel,Business,6.79794041297493,3,4,3,5,5,3,5,5,3,3,1,3,5,5,0.0,0.0,3.6666666666666665,0
Male,disloyal Customer,15,Business travel,Eco,6.814542897259958,2,2,2,4,5,2,1,5,4,3,4,2,3,5,2.302585092994046,2.772588722239781,3.1666666666666665,0
Female,Loyal Customer,54,Personal Travel,Eco,6.7661917146603505,1,5,1,3,2,5,5,5,5,1,5,4,5,3,3.258096538021482,3.58351893845611,3.5,0
Male,disloyal Customer,29,Business travel,Business,5.081404364984463,4,4,4,4,4,4,4,4,3,3,5,4,4,4,1.791759469228055,1.3862943611198906,3.9166666666666665,1
Male,Loyal Customer,52,Business travel,Business,7.85748078694253,2,2,2,2,2,2,2,2,2,1,2,1,2,2,0.0,0.0,1.8333333333333333,0
Male,Loyal Customer,41,Business travel,Eco,6.139884552226255,1,1,1,1,1,1,1,1,1,4,4,1,4,1,0.0,0.0,1.75,0
Male,Loyal Customer,32,Business travel,Eco,6.418364935936212,4,3,3,3,4,4,4,4,1,2,3,1,1,4,0.0,0.0,2.9166666666666665,1
Female,Loyal Customer,46,Business travel,Business,7.4645098346365275,3,3,5,3,3,3,5,5,5,5,5,4,5,5,3.8501476017100584,3.7612001156935624,4.416666666666667,1
Female,Loyal Customer,37,Business travel,Eco,6.1779441140506,4,3,3,3,4,4,4,4,1,5,1,4,3,4,0.0,2.70805020110221,3.4166666666666665,1
Male,Loyal Customer,57,Personal Travel,Eco,6.230481447578482,2,5,3,2,5,3,5,5,4,4,4,5,4,5,2.0794415416798357,0.0,4.083333333333333,0
Female,Loyal Customer,42,Business travel,Eco,5.247024072160486,3,5,5,5,3,1,5,3,3,3,3,2,3,2,0.6931471805599453,0.0,3.0,1
Male,Loyal Customer,49,Business travel,Business,7.3277805384216315,3,4,3,4,3,3,3,3,3,3,3,1,3,4,3.5263605246161616,2.5649493574615367,2.9166666666666665,0
Female,Loyal Customer,38,Business travel,Business,7.358830898342354,2,5,5,5,5,3,4,2,2,3,2,2,2,2,0.0,1.0986122886681098,2.8333333333333335,0
Male,Loyal Customer,28,Business travel,Business,7.347299700743164,2,3,2,2,2,2,2,2,3,3,4,2,3,2,2.6390573296152584,1.9459101490553132,2.4166666666666665,0
Female,Loyal Customer,47,Business travel,Business,7.9157131993821155,2,2,2,2,3,2,2,4,4,4,4,2,4,5,0.0,0.0,3.1666666666666665,1
Male,Loyal Customer,22,Business travel,Business,8.27664912542186,2,3,2,2,3,4,3,3,5,5,5,2,2,3,0.0,0.0,3.25,1
Female,Loyal Customer,43,Business travel,Business,7.905072849498666,5,1,5,5,3,4,5,3,3,3,3,5,3,3,3.295836866004329,2.3978952727983707,3.75,1
Male,Loyal Customer,51,Business travel,Eco,6.816735880594968,1,0,0,4,1,1,1,1,1,4,3,4,4,1,2.302585092994046,3.1780538303479458,1.8333333333333333,0
Male,Loyal Customer,33,Personal Travel,Eco,5.545177444479562,0,5,0,5,3,0,3,3,3,4,4,4,5,3,0.0,0.0,2.6666666666666665,1
Female,Loyal Customer,27,Business travel,Business,7.877017895622398,2,5,5,5,2,2,2,2,2,2,2,3,3,2,0.0,0.0,2.4166666666666665,0
Female,Loyal Customer,18,Business travel,Business,5.857933154483459,4,4,2,4,4,4,4,4,2,2,3,4,4,4,0.0,0.0,3.4166666666666665,0
Female,Loyal Customer,49,Business travel,Business,5.529429087511423,2,3,4,3,2,2,2,2,2,4,3,2,3,2,4.955827057601261,4.969813299576001,2.5,0
Male,Loyal Customer,68,Business travel,Business,7.686162303492906,2,2,2,2,4,4,5,4,4,4,4,4,4,5,3.258096538021482,2.772588722239781,3.8333333333333335,1
Female,Loyal Customer,44,Personal Travel,Eco,6.2166061010848646,2,1,2,4,3,4,4,4,4,2,4,4,4,1,0.0,0.0,3.1666666666666665,0
Female,Loyal Customer,19,Business travel,Eco Plus,5.220355825078324,3,5,5,5,3,4,1,3,4,4,4,2,4,3,4.219507705176107,3.784189633918261,3.3333333333333335,0
Female,Loyal Customer,29,Business travel,Business,7.415175109613295,4,4,4,4,5,5,5,5,3,4,4,2,2,5,0.0,1.791759469228055,4.0,1
Male,Loyal Customer,49,Business travel,Eco,6.335054251498059,5,1,1,1,5,5,5,5,3,2,2,5,3,5,1.9459101490553132,3.2188758248682006,3.8333333333333335,1
Female,disloyal Customer,51,Business travel,Eco,6.38856140554563,3,4,3,3,4,3,4,4,4,1,3,4,4,4,1.0986122886681098,0.6931471805599453,3.4166666666666665,0
Male,Loyal Customer,9,Personal Travel,Eco,5.950642552587727,2,3,2,3,4,2,4,4,2,2,3,2,2,4,4.189654742026425,4.61512051684126,2.75,0
Female,Loyal Customer,16,Personal Travel,Eco,6.760414691083428,3,4,3,4,4,3,4,4,5,5,4,5,5,4,3.091042453358316,2.3978952727983707,4.083333333333333,0
Male,Loyal Customer,54,Business travel,Eco,6.523562306149512,5,5,4,5,4,5,4,4,4,2,5,4,4,4,3.332204510175204,3.091042453358316,4.083333333333333,1
Female,disloyal Customer,22,Business travel,Eco,6.880384082186005,3,3,3,1,3,3,3,3,1,2,2,3,1,3,0.0,1.6094379124341003,2.5,0
Male,Loyal Customer,48,Business travel,Business,7.509335266016592,2,2,2,2,5,4,4,5,5,5,5,3,5,3,0.0,0.0,4.0,1
Male,Loyal Customer,44,Personal Travel,Eco Plus,6.480044561926653,1,2,1,3,5,1,1,5,2,3,3,4,4,5,0.0,0.0,2.9166666666666665,0
Female,Loyal Customer,45,Business travel,Business,7.289610521451167,1,1,1,1,2,4,5,5,5,5,5,3,5,3,3.8066624897703196,4.127134385045092,3.6666666666666665,1
Male,disloyal Customer,40,Business travel,Business,6.669498089857879,3,3,3,3,3,3,3,3,5,2,4,4,4,3,0.0,0.0,3.3333333333333335,0
Male,Loyal Customer,38,Business travel,Eco Plus,7.1308988302963465,4,4,4,4,4,5,4,4,5,1,3,4,4,4,0.0,2.5649493574615367,3.8333333333333335,1
Female,Loyal Customer,47,Business travel,Business,7.69484807238461,3,2,2,2,1,3,4,3,3,3,3,2,3,2,3.295836866004329,3.332204510175204,2.6666666666666665,0
Male,Loyal Customer,37,Business travel,Business,7.883069351305753,5,5,3,5,2,4,5,1,1,2,1,3,1,3,2.3978952727983707,2.833213344056216,2.5833333333333335,1
Male,disloyal Customer,40,Business travel,Business,4.736198448394496,1,1,1,4,3,1,3,3,5,3,5,4,4,3,3.1354942159291497,3.044522437723423,3.0,0
Male,Loyal Customer,31,Business travel,Eco,6.5638555265321274,5,5,5,5,5,5,5,5,1,2,1,3,2,5,3.2188758248682006,3.4965075614664802,3.6666666666666665,1
Female,Loyal Customer,19,Personal Travel,Eco,7.037905963447182,3,5,3,2,4,3,4,4,3,4,4,4,5,4,0.0,0.0,3.75,0
Male,Loyal Customer,51,Business travel,Business,7.878155336503324,2,2,2,2,3,3,4,2,2,2,2,3,2,2,0.0,0.0,2.4166666666666665,0
Female,Loyal Customer,8,Personal Travel,Eco,6.588926477533519,2,5,2,4,1,2,1,1,4,3,1,5,5,1,0.0,0.0,2.3333333333333335,0
Male,Loyal Customer,70,Personal Travel,Eco,5.4680601411351315,4,5,4,3,4,4,4,4,1,1,5,1,2,4,0.0,0.0,3.1666666666666665,0
Male,disloyal Customer,27,Business travel,Business,6.79794041297493,3,3,3,4,2,3,2,2,3,5,5,3,5,2,3.4657359027997265,3.1354942159291497,3.1666666666666665,0
Male,Loyal Customer,56,Business travel,Business,7.869019376499023,2,2,2,2,2,4,2,4,4,5,4,1,4,3,0.0,0.0,3.0833333333333335,1
Female,disloyal Customer,26,Business travel,Eco,6.985641817639208,3,4,4,3,4,4,4,4,1,1,2,5,1,4,1.0986122886681098,2.6390573296152584,3.0833333333333335,0
Male,Loyal Customer,12,Personal Travel,Eco,7.3277805384216315,2,4,2,3,3,2,3,3,4,3,3,5,5,3,3.4965075614664802,3.5553480614894135,3.1666666666666665,0
Female,Loyal Customer,59,Personal Travel,Eco Plus,6.016157159698354,5,3,2,4,2,4,4,4,4,3,3,4,1,4,4.356708826689592,4.976733742420574,3.3333333333333335,1
Male,Loyal Customer,33,Personal Travel,Eco,6.981934677156389,3,5,3,1,1,3,1,1,3,2,4,4,4,1,4.0943445622221,4.290459441148391,2.5,0
Male,Loyal Customer,65,Business travel,Eco,5.429345628954441,5,2,2,2,4,5,4,4,1,5,5,3,3,4,0.0,0.0,3.75,1
Female,Loyal Customer,52,Business travel,Business,7.916078096302786,2,2,2,2,5,4,5,4,4,5,4,4,4,5,3.970291913552122,4.060443010546419,4.0,1
Male,Loyal Customer,33,Personal Travel,Eco Plus,5.583496308781699,3,4,3,1,3,3,3,3,5,4,4,5,2,3,4.02535169073515,3.9318256327243257,3.4166666666666665,0
Male,Loyal Customer,31,Business travel,Eco Plus,7.388327859577107,2,1,1,1,2,2,2,2,4,5,2,1,3,2,1.3862943611198906,3.044522437723423,2.3333333333333335,0
Female,disloyal Customer,24,Business travel,Eco,5.707110264748875,4,3,4,3,4,4,4,4,3,4,3,1,5,4,0.0,0.0,3.6666666666666665,0
Female,Loyal Customer,54,Personal Travel,Eco,6.311734809152915,3,2,3,4,4,3,3,5,5,3,5,4,5,3,0.0,0.0,3.8333333333333335,0
Male,Loyal Customer,59,Business travel,Business,7.1731917424865985,1,3,1,1,4,5,5,5,5,5,5,4,5,5,0.0,0.0,4.166666666666667,1
